dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	successive_ss_avg	successive_ss_std	piA_avg	piA_std	piB_avg	piB_std	pearson_r_pi	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	pearson_r_theta	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	minDivAB_avg	minDivAB_std	maxDivAB_avg	maxDivAB_std	Gmin_avg	Gmin_std	Gmax_avg	Gmax_std	FST_avg	FST_std	pearson_r_divAB_netDivAB	pearson_r_divAB_FST	pearson_r_netDivAB_FST	ss_sf	ss_noSf	noSs_sf	noSs_noSf
212	137.22000	19.61356	0.94000	2.01901	24.44000	7.02755	94.57000	18.51662	17.27000	11.01531	1.92000	1.45382	0.01359	0.00624	0.02799	0.00604	0.19921	0.01176	0.00400	0.03152	0.00543	0.18868	0.50094	0.92582	-0.46984	0.41309	0.03154	0.00723	0.01075	0.00499	0.01450	0.00604	0.04842	0.01039	0.45443	0.12536	1.55116	0.18094	0.20715	0.07684	0.75583	0.41567	0.89585	28.00000	68.00000	3.00000	1.00000
213	158.84000	16.77720	0.15000	0.45552	64.81000	10.05753	84.81000	11.43652	9.07000	6.05682	0.63000	0.64273	0.01775	0.00391	0.02082	0.00350	0.47761	0.02082	0.00376	0.02646	0.00367	0.25022	-0.60595	0.41055	-0.87247	0.31837	0.02624	0.00473	0.00695	0.00308	0.01464	0.00325	0.03835	0.00605	0.55829	0.07582	1.47094	0.11545	0.15426	0.05286	0.74554	0.45612	0.92371	11.00000	88.00000	0.00000	1.00000
214	179.74000	16.27429	59.67000	9.70263	6.06000	2.99606	114.01000	17.91898	0.00000	0.00000	0.00000	0.00000	0.00170	0.00103	0.03167	0.00638	0.15948	0.00171	0.00084	0.03214	0.00505	0.12516	-0.05830	0.93869	-0.07468	0.37175	0.09057	0.00903	0.07389	0.00921	0.08274	0.00921	0.09954	0.00919	0.91283	0.02692	1.10045	0.03693	0.69405	0.05454	0.93411	0.36349	0.67044	0.00000	0.00000	100.00000	0.00000
215	221.34000	21.55190	19.31000	8.29541	111.49000	17.49257	88.82000	15.35603	1.72000	2.11225	0.16000	0.44091	0.03117	0.00614	0.02561	0.00564	0.08594	0.03191	0.00508	0.02552	0.00452	0.05705	-0.10310	0.38725	-0.00128	0.44375	0.07081	0.00935	0.04243	0.00852	0.05760	0.00934	0.08435	0.01023	0.81146	0.05430	1.19410	0.05579	0.43288	0.06242	0.88609	0.44235	0.80394	59.00000	0.00000	41.00000	0.00000
216	226.70000	23.06361	69.33000	12.00838	18.42000	7.11081	138.95000	24.20924	0.00000	0.00000	0.00000	0.00000	0.00492	0.00246	0.03857	0.00818	-0.08963	0.00519	0.00200	0.03917	0.00682	-0.05152	-0.26491	0.84486	-0.07688	0.39012	0.11027	0.01119	0.08852	0.01125	0.09996	0.01186	0.12118	0.01162	0.90527	0.03024	1.10003	0.03233	0.67615	0.05496	0.93117	0.30810	0.63204	0.00000	0.00000	100.00000	0.00000
217	188.59000	22.19419	63.30000	13.99536	33.05000	8.64566	92.24000	20.06047	0.00000	0.00000	0.00000	0.00000	0.00925	0.00332	0.02572	0.00710	0.01137	0.00932	0.00244	0.02600	0.00565	0.12320	-0.04991	0.78815	-0.07242	0.54826	0.09757	0.01340	0.08008	0.01352	0.08858	0.01316	0.10755	0.01414	0.90671	0.02955	1.10359	0.02885	0.69972	0.06375	0.95732	0.45359	0.68992	0.00000	0.00000	100.00000	0.00000
218	114.59000	16.13387	7.06000	4.64719	14.68000	5.59443	91.74000	15.77949	1.11000	2.99631	0.12000	0.40694	0.00457	0.00291	0.02214	0.00434	0.06970	0.00445	0.00208	0.02617	0.00445	-0.01615	-0.00555	0.83419	-0.62602	0.38375	0.02988	0.00690	0.01652	0.00643	0.02007	0.00640	0.04064	0.00830	0.66569	0.11547	1.37623	0.16667	0.38160	0.09705	0.92073	0.59977	0.85132	19.00000	4.00000	77.00000	0.00000
219	178.84000	21.77922	2.26000	3.03849	76.75000	15.01225	83.00000	13.87083	16.83000	9.67683	1.66000	1.29784	0.02662	0.00717	0.02827	0.00598	0.33761	0.02638	0.00531	0.02814	0.00504	0.28065	0.00104	0.49680	0.02000	0.45867	0.04647	0.00839	0.01902	0.00624	0.02967	0.00674	0.06296	0.01098	0.63799	0.08691	1.35970	0.09589	0.26207	0.07440	0.76668	0.30838	0.83898	61.00000	37.00000	2.00000	0.00000
220	174.97000	20.76365	91.86000	15.79178	8.06000	3.47511	75.05000	19.15953	0.00000	0.00000	0.00000	0.00000	0.00220	0.00124	0.02121	0.00707	0.08737	0.00227	0.00098	0.02115	0.00540	0.11861	-0.14398	0.90101	-0.03971	0.54532	0.11478	0.01481	0.10308	0.01504	0.10773	0.01476	0.12237	0.01521	0.93783	0.02454	1.06703	0.02399	0.81794	0.05444	0.97034	0.33787	0.55329	0.00000	0.00000	100.00000	0.00000
221	265.70000	22.47376	64.14000	11.38597	177.15000	22.97798	24.41000	7.71375	0.00000	0.00000	0.00000	0.00000	0.04889	0.00765	0.00694	0.00289	-0.16554	0.04993	0.00648	0.00688	0.00217	-0.13530	-0.08706	0.35623	-0.02481	0.73527	0.11411	0.01119	0.08619	0.01136	0.10330	0.01154	0.12649	0.01153	0.90436	0.02568	1.10961	0.02870	0.61200	0.04912	0.94163	0.49538	0.75724	0.00000	0.00000	100.00000	0.00000
